home_institution;age;gender;nationality;level_study;years_prior;mobility_type;host_institution;work_placement;country_work_placement;length_study;length_work;short_duration_reason;study_start_date;work_start_date;ects_study;ects_work;ects_total;sn_supplement;study_grant;work_grant;previous_participation
A  KREMS03;21;F;AT;1;1;S;E  BILBAO02;;;5.0;0.0;;08-2011;;30.0;0.0;30.0;0.0;0.0;0.0;P
A  KREMS03;24;F;;2;1;S;S  VAXJO03;;;6.0;0.0;;08-2011;;20.0;0.0;20.0;0.0;2010.0;0.0;N
A  GRAZ01;24;M;AT;2;5;S;P  LISBOA04;;;11.0;0.0;;08-2011;;18.0;0.0;18.0;0.0;1666.0;0.0;N
A  GRAZ01;23;F;AT;2;4;S;S  OREBRO01;;;5.0;0.0;;08-2011;;15.0;0.0;15.0;0.0;1675.0;0.0;N
A  KREMS03;20;F;AT;1;1;S;E  ALCAL-H01;;;5.0;0.0;;09-2011;;30.0;0.0;30.0;0.0;1365.0;0.0;P
A  GRAZ01;25;M;AT;1;4;S;S  VAXJO03;;;9.0;0.0;;08-2011;;27.0;0.0;27.0;0.0;3015.0;0.0;N
A  GRAZ01;23;F;AT;1;2;S;I  ROMA16;;;5.0;0.0;;09-2011;;15.0;0.0;15.0;0.0;1365.0;0.0;N
A  GRAZ01;25;F;AT;1;5;S;S  JONKOPI01;;;4.0;0.0;;08-2011;;12.0;0.0;12.0;0.0;1340.0;0.0;N
A  GRAZ01;20;F;AT;1;1;S;E  ALCAL-H01;;;5.0;0.0;;08-2011;;12.0;0.0;12.0;0.0;1365.0;0.0;N
A  GRAZ01;20;M;AT;1;2;S;N  BERGEN01;;;10.0;0.0;;08-2011;;30.0;0.0;30.0;0.0;3350.0;0.0;N
A  WIEN07;35;F;AT;1;2;S;D  LEIPZIG01;;;10.0;0.0;;10-2011;;18.0;0.0;18.0;0.0;0.0;0.0;N
A  GRAZ01;24;M;HR;2;5;S;E  BARCELO16;;;5.0;0.0;;08-2011;;15.0;0.0;15.0;0.0;0.0;0.0;N
A  GRAZ01;24;M;AT;2;4;S;E  BARCELO16;;;5.0;0.0;;08-2011;;15.0;0.0;15.0;0.0;0.0;0.0;P
P  COIMBRA01;20;F;PT;1;3;S;I  MILANO03;;;5.0;0.0;;09-2011;;30.0;0.0;30.0;0.0;1351.0;0.0;N
P  COIMBRA01;21;M;PT;1;3;S;PL WARSZAW01;;;4.0;0.0;;09-2011;;30.0;0.0;30.0;0.0;1151.0;0.0;N
P  COIMBRA01;23;F;PT;1;3;S;F  NICE01;;;4.0;0.0;;09-2011;;36.0;0.0;36.0;0.0;1151.0;0.0;N
P  COIMBRA01;21;M;PT;1;2;S;CZ PRAHA09;;;3.0;0.0;;09-2011;;24.0;0.0;24.0;0.0;951.0;0.0;N
P  COIMBRA01;20;F;PT;1;2;S;CZ HRADEC01;;;5.0;0.0;;09-2011;;42.0;0.0;42.0;0.0;1351.0;0.0;N
P  COIMBRA01;20;F;PT;1;2;S;E  ALCAL-H01;;;5.0;0.0;;08-2011;;30.0;0.0;30.0;0.0;1351.0;0.0;N
P  COIMBRA01;21;F;PT;1;2;S;SK BRATISL03;;;3.0;0.0;;09-2011;;30.0;0.0;30.0;0.0;885.0;0.0;N
P  COIMBRA01;23;M;PT;1;2;S;B  BRUXEL04;;;4.0;0.0;;02-2012;;30.0;0.0;30.0;0.0;0.0;0.0;N
P  COIMBRA01;21;M;PT;1;2;S;B  ANTWERP01;;;4.0;0.0;;09-2011;;30.0;0.0;30.0;0.0;1151.0;0.0;N
P  COIMBRA01;20;M;PT;1;2;S;E  BARCELO01;;;5.0;0.0;;09-2011;;30.0;0.0;30.0;0.0;1351.0;0.0;N
P  COIMBRA01;23;F;PT;1;3;S;E  SALAMAN02;;;5.0;0.0;;09-2011;;30.0;0.0;30.0;0.0;0.0;0.0;N
P  COIMBRA01;22;M;PT;1;2;S;PL WROCLAW12;;;4.0;0.0;;10-2011;;18.0;0.0;18.0;0.0;1151.0;0.0;N
